type,time,price,position,balance,rsi,pnl,win,win_streak,lose_streak,month
entry,2025-03-10 15:34:00,80923.81,short,9936.33333163147,98.67327300274339,-0.009963798201563345,False,0,1,2025-03
exit,2025-03-10 15:56:00,80078.55,short,10037.377844982979,,0.01016919521307158,True,1,0,2025-03
entry,2025-03-10 20:53:00,79401.21,short,9937.377844982979,98.69761194941152,-0.009962761345084115,False,0,1,2025-03
exit,2025-03-10 23:58:00,78524.91,short,10038.481480557299,,0.0101740758127018,True,1,0,2025-03
entry,2025-03-11 04:21:00,80148.05,short,9938.481480557299,99.66177482229045,-0.009961666034218553,False,0,1,2025-03
exit,2025-03-11 08:26:00,80965.98,short,10037.460956664328,,0.00995921522826837,True,1,0,2025-03
entry,2025-03-11 15:06:00,80500.24,short,9937.460956664328,100.0,-0.009962678851926698,False,0,1,2025-03
exit,2025-03-11 15:15:00,81492.92,short,10036.227817483625,,0.009938842653068214,True,1,0,2025-03
entry,2025-03-11 18:41:00,82730.03,short,9936.227817483625,98.56596893516681,-0.009963902954234993,False,0,1,2025-03
exit,2025-03-12 01:48:00,83560.67,short,10035.223780618173,,0.009963133389550238,True,1,0,2025-03
entry,2025-03-12 09:06:00,82929.55,short,9935.223780618173,99.67282365609475,-0.009964899855361309,False,0,1,2025-03
exit,2025-03-12 12:30:00,84125.43,short,10033.78173734168,,0.009920054031976155,True,1,0,2025-03
entry,2025-03-12 19:13:00,82892.91,short,9933.78173734168,100.0,-0.009966331999014977,False,0,1,2025-03
exit,2025-03-12 23:50:00,83771.17,short,10032.722225738094,,0.009960002244109312,True,1,0,2025-03
entry,2025-03-13 01:51:00,84112.18,short,9932.722225738094,100.0,-0.009967384499439125,False,0,1,2025-03
exit,2025-03-13 04:57:00,83229.21,short,10033.771978580073,,0.01017341978819597,True,1,0,2025-03
entry,2025-03-13 08:47:00,82785.88,short,9933.771978580073,100.0,-0.009966341692185021,False,0,1,2025-03
exit,2025-03-13 13:53:00,81914.62,short,10034.824404428538,,0.010172613793266283,True,1,0,2025-03
entry,2025-03-13 20:20:00,80681.8,short,9934.824404428538,100.0,-0.009965296448622318,False,0,1,2025-03
exit,2025-03-14 00:42:00,81500.0,short,10033.810297157754,,0.009963527154550622,True,1,0,2025-03
entry,2025-03-14 00:44:00,81537.36,short,9933.810297157754,100.0,-0.009966303631266271,False,0,1,2025-03
exit,2025-03-14 07:43:00,82355.4,short,10032.807027000368,,0.00996563522769689,True,1,0,2025-03
entry,2025-03-14 07:45:00,82439.04,short,9932.807027000368,100.0,-0.009967300251153999,False,0,1,2025-03
exit,2025-03-14 10:46:00,83274.65,short,10031.79341742898,,0.009965600877932745,True,1,0,2025-03
entry,2025-03-14 11:24:00,83189.41,short,9931.79341742898,100.0,-0.009968307344354055,False,0,1,2025-03
exit,2025-03-14 15:03:00,84109.99,short,10030.68681022982,,0.009957254308903929,True,1,0,2025-03
entry,2025-03-14 15:20:00,84814.51,short,9930.68681022982,100.0,-0.00996940706971483,False,0,1,2025-03
exit,2025-03-14 20:20:00,83954.91,short,10031.70031605565,,0.010171854953856307,True,1,0,2025-03
entry,2025-03-14 21:52:00,84247.99,short,9931.70031605565,100.0,-0.009968399857395172,False,0,1,2025-03
exit,2025-03-16 11:02:00,83401.83,short,10032.704684231081,,0.010169896891889296,True,1,0,2025-03
entry,2025-03-16 17:05:00,83973.99,short,9932.704684231081,100.0,-0.009967401926738173,False,0,1,2025-03
exit,2025-03-16 19:15:00,83123.23,short,10033.717807461262,,0.010169749976614906,True,1,0,2025-03
entry,2025-03-17 02:44:00,83325.88,short,9933.717807461262,98.62451554069631,-0.009966395499546365,False,0,1,2025-03
exit,2025-03-17 17:33:00,84208.83,short,10032.658172687528,,0.0099600539439475,True,1,0,2025-03
entry,2025-03-17 18:44:00,84455.76,short,9932.658172687528,98.72417055825372,-0.009967448135752899,False,0,1,2025-03
exit,2025-03-18 01:13:00,83607.12,short,10033.663006460856,,0.010168963032581413,True,1,0,2025-03
entry,2025-03-18 16:58:00,81877.07,short,9933.663006460856,100.0,-0.009966449933150878,False,0,1,2025-03
exit,2025-03-18 23:16:00,82716.95,short,10032.637224761536,,0.009963516805060468,True,1,0,2025-03
entry,2025-03-19 00:51:00,83234.45,short,9932.637224761536,98.58257931731022,-0.009967468947565505,False,0,1,2025-03
exit,2025-03-19 13:16:00,84151.87,short,10031.535012876913,,0.009956850922616,True,1,0,2025-03
entry,2025-03-19 14:37:00,84183.16,short,9931.535012876913,100.0,-0.009968564120210521,False,0,1,2025-03
exit,2025-03-19 18:53:00,85449.16,short,10030.031149158802,,0.009917513874157624,True,1,0,2025-03
entry,2025-03-19 22:34:00,85914.3,short,9930.031149158802,100.0,-0.009970058767802215,False,0,1,2025-03
exit,2025-03-19 23:26:00,86779.0,short,10029.024681085384,,0.009969105880898388,True,1,0,2025-03
entry,2025-03-20 02:45:00,86015.73,short,9929.024681085384,100.0,-0.009971059318320208,False,0,1,2025-03
exit,2025-03-20 10:18:00,85146.06,short,10030.035740341638,,0.010173311327211998,True,1,0,2025-03
entry,2025-03-20 11:33:00,85387.06,short,9930.035740341638,100.0,-0.009970054204073486,False,0,1,2025-03
exit,2025-03-20 14:17:00,86357.45,short,10028.89928008642,,0.009956010464608811,True,1,0,2025-03
entry,2025-03-20 19:21:00,84255.14,short,9928.89928008642,100.0,-0.009971183996090427,False,0,1,2025-03
exit,2025-03-21 12:58:00,83390.27,short,10029.925769390218,,0.010174993869302096,True,1,0,2025-03
entry,2025-03-21 13:43:00,83715.62,short,9929.925769390218,98.31585774510998,-0.009970163518576047,False,0,1,2025-03
exit,2025-03-23 11:02:00,84600.27,short,10028.869037086259,,0.00996414978257354,True,1,0,2025-03
entry,2025-03-23 11:04:00,84705.04,short,9928.869037086259,100.0,-0.009971214065135903,False,0,1,2025-03
exit,2025-03-23 22:18:00,85565.91,short,10027.85272211846,,0.009969280958634696,True,1,0,2025-03
entry,2025-03-23 22:57:00,85392.03,short,9927.85272211846,98.18213907518725,-0.009972224639820393,False,0,1,2025-03
exit,2025-03-24 00:21:00,86256.38,short,10026.840508215124,,0.00997071460136878,True,1,0,2025-03
entry,2025-03-24 02:04:00,85662.79,short,9926.840508215124,98.09545840081184,-0.009973231340228095,False,0,1,2025-03
exit,2025-03-24 03:59:00,86532.07,short,10025.825738558427,,0.009971473830105992,True,1,0,2025-03
entry,2025-03-24 04:46:00,86932.47,short,9925.825738558427,100.0,-0.009974240786512878,False,0,1,2025-03
exit,2025-03-24 10:53:00,87805.0,short,10024.82205144359,,0.009973609802617966,True,1,0,2025-03
entry,2025-03-24 11:48:00,87776.55,short,9924.82205144359,100.0,-0.009975239409421688,False,0,1,2025-03
exit,2025-03-24 14:20:00,88736.39,short,10023.728547540783,,0.00996556871090748,True,1,0,2025-03
entry,2025-03-24 15:19:00,88254.77,short,9923.728547540783,100.0,-0.009976327623570147,False,0,1,2025-03
exit,2025-03-24 22:46:00,87348.0,short,10024.755993422745,,0.010180391915999953,True,1,0,2025-03
entry,2025-03-24 23:59:00,87498.16,short,9924.755993422745,100.0,-0.009975305141153523,False,0,1,2025-03
exit,2025-03-25 03:37:00,86604.77,short,10025.777032036585,,0.010178692421333846,True,1,0,2025-03
entry,2025-03-25 09:21:00,86906.89,short,9925.777032036585,100.0,-0.009974289242664969,False,0,1,2025-03
exit,2025-03-25 13:32:00,87847.63,short,10024.694563201261,,0.009965721660420979,True,1,0,2025-03
