type,time,price,position,balance,pnl,win,win_streak,lose_streak,month
entry,2025-03-02 17:30:00,94600.0,long,8371.46084655285,0.0,False,0,1,2025-03
exit,2025-03-02 18:00:00,93410.92,long,8266.235300427914,-0.01256955602536991,False,0,2,2025-03
entry,2025-03-02 18:15:00,93496.0,long,8266.235300427914,0.0,False,0,3,2025-03
exit,2025-03-02 23:00:00,94498.5,long,8354.869048274655,0.010722383845298111,True,1,0,2025-03
entry,2025-03-02 23:15:00,94210.0,long,8354.869048274655,0.0,False,0,1,2025-03
exit,2025-03-03 01:00:00,92862.72,long,8235.387592257677,-0.014300817323001813,False,0,2,2025-03
entry,2025-03-03 01:15:00,93059.14,long,8235.387592257677,0.0,False,0,3,2025-03
exit,2025-03-03 06:30:00,91993.99,long,8141.125780963341,-0.011445947168649884,False,0,4,2025-03
entry,2025-03-03 12:00:00,93161.69,long,8141.125780963341,0.0,False,0,5,2025-03
exit,2025-03-03 14:30:00,91363.34,long,7983.973269580224,-0.019303535605676547,False,0,6,2025-03
entry,2025-03-03 15:15:00,91083.99,long,7983.973269580224,0.0,False,0,7,2025-03
exit,2025-03-03 15:45:00,90035.37,long,7892.056412952103,-0.011512670887606102,False,0,8,2025-03
entry,2025-03-03 16:00:00,90015.43,long,7892.056412952103,0.0,False,0,9,2025-03
exit,2025-03-03 17:30:00,90924.01,long,7971.715695984801,0.010093602841201754,True,1,0,2025-03
entry,2025-03-03 17:45:00,90300.01,long,7971.715695984801,0.0,False,0,1,2025-03
exit,2025-03-03 18:00:00,89377.36,long,7890.263839147793,-0.010217606841903981,False,0,2,2025-03
entry,2025-03-04 08:15:00,83601.34,long,7890.263839147793,0.0,False,0,3,2025-03
exit,2025-03-04 13:15:00,82568.01,long,7792.738532341627,-0.012360208580388776,False,0,4,2025-03
entry,2025-03-04 14:30:00,84091.16,long,7792.738532341627,0.0,False,0,5,2025-03
exit,2025-03-04 14:45:00,83201.41,long,7710.285286255464,-0.010580779240053295,False,0,6,2025-03
entry,2025-03-04 15:30:00,82832.91,long,7710.285286255464,0.0,False,0,7,2025-03
exit,2025-03-04 17:00:00,83868.48,long,7806.678617527871,0.012501914999726527,True,1,0,2025-03
entry,2025-03-04 17:15:00,84738.5,long,7806.678617527871,0.0,False,0,1,2025-03
exit,2025-03-04 18:00:00,85980.55,long,7921.104588921046,0.014657446143134578,True,1,0,2025-03
entry,2025-03-04 18:15:00,85382.0,long,7921.104588921046,0.0,False,0,1,2025-03
exit,2025-03-04 18:45:00,86764.24,long,8049.338497789313,0.016188892272376076,True,1,0,2025-03
entry,2025-03-04 19:00:00,88093.99,long,8049.338497789313,0.0,False,0,1,2025-03
exit,2025-03-04 20:45:00,86825.27,long,7933.4128059354725,-0.014401890526243633,False,0,2,2025-03
entry,2025-03-04 21:00:00,87146.33,long,7933.4128059354725,0.0,False,0,3,2025-03
exit,2025-03-04 21:15:00,88779.75,long,8082.112070098073,0.018743416963169945,True,1,0,2025-03
entry,2025-03-04 21:30:00,87950.73,long,8082.112070098073,0.0,False,0,1,2025-03
exit,2025-03-05 00:15:00,87061.99,long,8000.442523055326,-0.010104975819984596,False,0,2,2025-03
entry,2025-03-05 00:30:00,86594.09,long,8000.442523055326,0.0,False,0,3,2025-03
exit,2025-03-05 01:30:00,87499.73,long,8084.114754804396,0.010458450455452573,True,1,0,2025-03
entry,2025-03-05 01:45:00,87643.11,long,8084.114754804396,0.0,False,0,1,2025-03
exit,2025-03-05 09:15:00,88621.21,long,8174.333742260162,0.01116003300202384,True,1,0,2025-03
entry,2025-03-05 10:15:00,89612.02,long,8174.333742260162,0.0,False,0,1,2025-03
exit,2025-03-05 12:30:00,90622.99,long,8266.553582672339,0.011281633870099173,True,1,0,2025-03
entry,2025-03-05 12:45:00,90355.97,long,8266.553582672339,0.0,False,0,1,2025-03
exit,2025-03-05 13:30:00,89120.0,long,8153.47624830721,-0.013678896922915018,False,0,2,2025-03
entry,2025-03-05 14:00:00,89775.99,long,8153.47624830721,0.0,False,0,3,2025-03
exit,2025-03-05 14:45:00,88519.93,long,8039.400587582679,-0.013991045935556001,False,0,4,2025-03
entry,2025-03-06 01:45:00,91057.19,long,8039.400587582679,0.0,False,0,5,2025-03
exit,2025-03-06 04:30:00,92126.29,long,8133.790972001357,0.011740972898460766,True,1,0,2025-03
entry,2025-03-06 04:45:00,92287.45,long,8133.790972001357,0.0,False,0,1,2025-03
exit,2025-03-06 07:45:00,91346.48,long,8050.858208219021,-0.010196077581512974,False,0,2,2025-03
entry,2025-03-06 08:00:00,91395.47,long,8050.858208219021,0.0,False,0,3,2025-03
exit,2025-03-06 12:30:00,90394.77,long,7962.708392818272,-0.010949120344804775,False,0,4,2025-03
entry,2025-03-06 15:00:00,90650.0,long,7962.708392818272,0.0,False,0,5,2025-03
exit,2025-03-06 16:45:00,89316.02,long,7845.531407249031,-0.014715719801434046,False,0,6,2025-03
entry,2025-03-06 22:00:00,90437.41,long,7845.531407249031,0.0,False,0,7,2025-03
exit,2025-03-07 00:15:00,87037.48,long,7550.584243266247,-0.03759428758519301,False,0,8,2025-03
entry,2025-03-07 13:00:00,89448.66,long,7550.584243266247,0.0,False,0,9,2025-03
exit,2025-03-07 14:45:00,90440.74,long,7634.328187737406,0.011091054913511256,True,1,0,2025-03
entry,2025-03-07 15:00:00,90022.06,long,7634.328187737406,0.0,False,0,1,2025-03
exit,2025-03-07 15:30:00,88520.39,long,7506.978940123214,-0.016681133491057598,False,0,2,2025-03
entry,2025-03-08 10:15:00,86220.87,long,7506.978940123214,0.0,False,0,3,2025-03
exit,2025-03-09 10:15:00,85260.0,long,7423.319022817854,-0.011144285600458437,False,0,4,2025-03
entry,2025-03-09 14:45:00,83602.57,long,7423.319022817854,0.0,False,0,5,2025-03
exit,2025-03-09 16:45:00,82496.01,long,7325.0642933533245,-0.013235956741521337,False,0,6,2025-03
entry,2025-03-09 20:30:00,83348.68,long,7325.0642933533245,0.0,False,0,7,2025-03
exit,2025-03-09 21:15:00,82041.61,long,7210.192986622213,-0.015681952011717404,False,0,8,2025-03
entry,2025-03-09 23:15:00,80603.89,long,7210.192986622213,0.0,False,0,9,2025-03
exit,2025-03-10 01:30:00,81690.53,long,7307.395294190534,0.013481235210856424,True,1,0,2025-03
entry,2025-03-10 01:45:00,81766.01,long,7307.395294190534,0.0,False,0,1,2025-03
exit,2025-03-10 04:45:00,82634.05,long,7384.971678450561,0.010616147223033279,True,1,0,2025-03
entry,2025-03-10 05:00:00,82450.01,long,7384.971678450561,0.0,False,0,1,2025-03
exit,2025-03-10 08:30:00,81466.02,long,7296.836597789218,-0.011934383027970452,False,0,2,2025-03
entry,2025-03-10 08:45:00,81350.46,long,7296.836597789218,0.0,False,0,3,2025-03
exit,2025-03-10 09:15:00,83238.89,long,7466.221812530021,0.023213513482283954,True,1,0,2025-03
entry,2025-03-10 09:30:00,82762.76,long,7466.221812530021,0.0,False,0,1,2025-03
exit,2025-03-10 10:15:00,81864.27,long,7385.166931852527,-0.010856211175170993,False,0,2,2025-03
entry,2025-03-10 10:45:00,82288.19,long,7385.166931852527,0.0,False,0,3,2025-03
exit,2025-03-10 11:45:00,83582.0,long,7501.2832643189495,0.01572291236445955,True,1,0,2025-03
entry,2025-03-10 12:00:00,83170.47,long,7501.2832643189495,0.0,False,0,1,2025-03
exit,2025-03-10 13:45:00,81528.94,long,7353.230938573075,-0.019736933072519558,False,0,2,2025-03
entry,2025-03-10 15:00:00,80237.39,long,7353.230938573075,0.0,False,0,3,2025-03
exit,2025-03-10 16:30:00,79345.99,long,7271.539970576185,-0.011109533847000752,False,0,4,2025-03
entry,2025-03-11 03:00:00,79648.0,long,7271.539970576185,0.0,False,0,5,2025-03
exit,2025-03-11 07:00:00,80454.95,long,7345.211238897504,0.010131453394937706,True,1,0,2025-03
entry,2025-03-11 07:15:00,80455.78,long,7345.211238897504,0.0,False,0,1,2025-03
exit,2025-03-11 09:00:00,81341.23,long,7426.048405493636,0.011005424346143933,True,1,0,2025-03
entry,2025-03-11 09:15:00,81699.32,long,7426.048405493636,0.0,False,0,1,2025-03
exit,2025-03-11 13:00:00,80765.36,long,7341.156240310439,-0.011431674094717126,False,0,2,2025-03
entry,2025-03-11 13:15:00,81448.98,long,7341.156240310439,0.0,False,0,3,2025-03
exit,2025-03-11 14:15:00,79910.21,long,7202.4638835994965,-0.018892440396429677,False,0,4,2025-03
entry,2025-03-11 15:00:00,81225.68,long,7202.4638835994965,0.0,False,0,5,2025-03
exit,2025-03-11 18:00:00,82433.76,long,7309.587056572611,0.014873128793750912,True,1,0,2025-03
entry,2025-03-11 18:15:00,82564.82,long,7309.587056572611,0.0,False,0,1,2025-03
exit,2025-03-12 04:30:00,81651.77,long,7228.7533738733255,-0.011058584031310215,False,0,2,2025-03
entry,2025-03-12 08:00:00,82719.86,long,7228.7533738733255,0.0,False,0,3,2025-03
exit,2025-03-12 12:30:00,83631.19,long,7308.393013159611,0.011017064100447005,True,1,0,2025-03
entry,2025-03-12 12:45:00,84069.0,long,7308.393013159611,0.0,False,0,1,2025-03
exit,2025-03-12 13:45:00,82686.27,long,7188.187773759997,-0.016447560932091432,False,0,2,2025-03
entry,2025-03-12 22:00:00,83405.71,long,7188.187773759997,0.0,False,0,3,2025-03
exit,2025-03-13 12:45:00,82517.99,long,7111.681044777985,-0.010643395997708138,False,0,4,2025-03
entry,2025-03-14 02:45:00,82226.98,long,7111.681044777985,0.0,False,0,5,2025-03
exit,2025-03-14 11:00:00,83050.0,long,7182.862738833553,0.010009123526122599,True,1,0,2025-03
entry,2025-03-14 11:15:00,83222.47,long,7182.862738833553,0.0,False,0,1,2025-03
exit,2025-03-14 15:00:00,84258.24,long,7272.259193168562,0.012445797391017255,True,1,0,2025-03
entry,2025-03-14 15:15:00,84942.85,long,7272.259193168562,0.0,False,0,1,2025-03
exit,2025-03-14 20:15:00,84057.02,long,7196.420139486179,-0.010428541072026731,False,0,2,2025-03
entry,2025-03-14 20:30:00,84233.44,long,7196.420139486179,0.0,False,0,3,2025-03
exit,2025-03-16 11:00:00,83249.5,long,7112.357970921699,-0.011681109070222018,False,0,4,2025-03
entry,2025-03-16 14:45:00,83373.16,long,7112.357970921699,0.0,False,0,5,2025-03
exit,2025-03-16 16:15:00,84350.65,long,7195.745224001662,0.011724276733663386,True,1,0,2025-03
entry,2025-03-16 16:30:00,84063.86,long,7195.745224001662,0.0,False,0,1,2025-03
exit,2025-03-16 19:00:00,83209.45,long,7122.608959775402,-0.010163820695361925,False,0,2,2025-03
entry,2025-03-16 20:00:00,83322.5,long,7122.608959775402,0.0,False,0,3,2025-03
exit,2025-03-16 22:15:00,82458.68,long,7048.767535530651,-0.010367187734405592,False,0,4,2025-03
entry,2025-03-17 02:30:00,83325.88,long,7048.767535530651,0.0,False,0,5,2025-03
exit,2025-03-17 17:30:00,84244.81,long,7126.502375551845,0.011028146357410229,True,1,0,2025-03
entry,2025-03-17 17:45:00,84197.46,long,7126.502375551845,0.0,False,0,1,2025-03
exit,2025-03-18 01:15:00,83351.66,long,7054.913568606342,-0.010045433674602533,False,0,2,2025-03
entry,2025-03-18 01:30:00,83050.07,long,7054.913568606342,0.0,False,0,3,2025-03
exit,2025-03-18 13:30:00,81404.94,long,6915.163536377334,-0.019808893598765254,False,0,4,2025-03
entry,2025-03-18 19:45:00,82317.21,long,6915.163536377334,0.0,False,0,5,2025-03
exit,2025-03-19 05:30:00,83153.54,long,6985.420518123658,0.010159843852822315,True,1,0,2025-03
entry,2025-03-19 05:45:00,83241.99,long,6985.420518123658,0.0,False,0,1,2025-03
exit,2025-03-19 17:00:00,84532.99,long,7093.7574030167,0.015508999724778372,True,1,0,2025-03
entry,2025-03-19 17:15:00,84467.39,long,7093.7574030167,0.0,False,0,1,2025-03
exit,2025-03-19 18:45:00,85612.25,long,7189.9052667119995,0.01355386972416217,True,1,0,2025-03
entry,2025-03-19 19:00:00,85688.89,long,7189.9052667119995,0.0,False,0,1,2025-03
exit,2025-03-19 23:15:00,86797.55,long,7282.929699319225,0.012938200039701808,True,1,0,2025-03
