type,time,price,position,balance
alignment_break,2024-12-19 08:03:00,101540.01,6.298261253450845e+28,1.2801130341285794e+34
entry,2024-12-19 08:49:00,101804.73,1.2574199981951521e+29,1.2801130341285794e+34
alignment_break,2024-12-19 08:52:00,101739.79,1.2574199981951521e+29,2.559409499710331e+34
entry,2024-12-19 09:07:00,101787.84,2.514455066253819e+29,2.559409499710331e+34
alignment_break,2024-12-19 09:12:00,101780.02,2.514455066253819e+29,5.118622369034481e+34
entry,2024-12-19 09:17:00,101818.2,5.027217500441455e+29,5.118622369034481e+34
alignment_break,2024-12-19 09:22:00,101699.98,5.027217500441455e+29,1.0231301561539941e+35
entry,2024-12-19 09:53:00,101775.6,1.0052803974174498e+30,1.0231301561539941e+35
alignment_break,2024-12-19 10:00:00,101837.27,1.0052803974174498e+30,2.0468802687290755e+35
entry,2024-12-19 10:01:00,101860.27,2.0094981769919472e+30,2.0468802687290755e+35
alignment_break,2024-12-19 10:11:00,101778.28,2.0094981769919472e+30,4.092112949902835e+35
entry,2024-12-19 10:16:00,101968.25,4.0131246244814784e+30,4.092112949902835e+35
alignment_break,2024-12-19 10:59:00,102409.34,4.0131246244814784e+30,8.201927391211796e+35
entry,2024-12-19 23:01:00,98296.0,8.344111043391182e+30,8.201927391211796e+35
alignment_break,2024-12-19 23:06:00,97851.17,8.344111043391182e+30,1.6366737673269276e+36
entry,2024-12-20 03:28:00,97579.96,1.6772642326630668e+31,1.6366737673269276e+36
alignment_break,2024-12-20 03:30:00,97440.01,1.6772642326630668e+31,3.271000203360243e+36
entry,2024-12-20 04:48:00,97787.87,3.3449958602843517e+31,3.271000203360243e+36
alignment_break,2024-12-20 04:50:00,97672.01,3.3449958602843517e+31,6.538124894516761e+36
entry,2024-12-20 07:32:00,98119.11,6.663457194543205e+31,6.538124894516761e+36
alignment_break,2024-12-20 07:33:00,98131.04,6.663457194543205e+31,1.307704473947683e+37
entry,2024-12-20 07:39:00,98032.0,1.3339567426428952e+32,1.307704473947683e+37
alignment_break,2024-12-20 07:40:00,97972.82,1.3339567426428952e+32,2.61461951229507e+37
entry,2024-12-20 13:41:00,95405.01,2.7405473908498832e+32,2.61461951229507e+37
alignment_break,2024-12-20 13:58:00,95087.99,2.7405473908498832e+32,5.220550941251668e+37
entry,2024-12-20 14:39:00,96204.01,5.426541930270545e+32,5.220550941251668e+37
alignment_break,2024-12-20 14:48:00,95389.55,5.426541930270545e+32,1.0396904869098054e+38
entry,2024-12-20 15:09:00,95801.82,1.0852512894951321e+33,1.0396904869098054e+38
half_take_profit,2024-12-20 15:18:00,96789.72,5.4262564474756606e+32,1.5648963291091693e+38
alignment_break,2024-12-20 16:52:00,96667.99,5.4262564474756606e+32,2.089441633111182e+38
entry,2024-12-20 19:35:00,97712.02,2.138367043390549e+33,2.089441633111182e+38
alignment_break,2024-12-20 19:40:00,97342.83,2.138367043390549e+33,4.17098862893487e+38
entry,2024-12-20 22:56:00,97420.68,4.2814201552841455e+33,4.17098862893487e+38
alignment_break,2024-12-20 23:36:00,97547.44,4.2814201552841455e+33,8.347404386058579e+38
entry,2024-12-20 23:59:00,97805.44,8.534703576875252e+33,8.347404386058579e+38
alignment_break,2024-12-21 00:06:00,97499.99,8.534703576875252e+33,1.6668739520041592e+39
entry,2024-12-21 04:38:00,97492.75,1.7097414443680779e+34,1.6668739520041592e+39
alignment_break,2024-12-21 05:03:00,97560.13,1.7097414443680779e+34,3.334899927793534e+39
entry,2024-12-21 05:09:00,97616.31,3.4163347577812907e+34,3.334899927793534e+39
alignment_break,2024-12-21 05:23:00,97610.27,3.4163347577812907e+34,6.669593508967698e+39
entry,2024-12-21 05:43:00,97914.26,6.81166717592279e+34,6.669593508967698e+39
alignment_break,2024-12-21 06:20:00,98614.0,6.81166717592279e+34,1.33868509778322e+40
entry,2024-12-21 07:00:00,98721.38,1.3560234852705866e+35,1.33868509778322e+40
alignment_break,2024-12-21 07:04:00,98628.0,1.3560234852705866e+35,2.6761039408358943e+40
entry,2024-12-21 07:27:00,98902.66,2.7057957195851902e+35,2.6761039408358943e+40
alignment_break,2024-12-21 07:53:00,99226.34,2.7057957195851902e+35,5.360966001256941e+40
entry,2024-12-21 15:58:00,97500.91,5.4983753497859054e+35,5.360966001256941e+40
alignment_break,2024-12-21 16:00:00,97436.08,5.4983753497859054e+35,1.0718367405774616e+41
entry,2024-12-22 00:14:00,97174.06,1.1030070582390626e+36,1.0718367405774616e+41
